Designator,Mid X,Mid Y,Layer,Rotation
D115,405.369800,-108.783600,bottom,-90.000000
D116,407.097000,-125.573000,bottom,-90.000000
D117,407.097000,-144.623000,bottom,-90.000000
D118,407.097000,-163.927000,bottom,-90.000000
D119,426.147000,-182.469000,bottom,-90.000000
D12,69.023000,-144.623000,bottom,-90.000000
D120,455.865000,-160.625000,bottom,-90.000000
D121,424.267400,-108.783600,bottom,-90.000000
D122,426.147000,-125.573000,bottom,-90.000000
D123,426.147000,-144.623000,bottom,-90.000000
D124,426.147000,-163.927000,bottom,-90.000000
D125,135.375000,-181.475000,bottom,-90.000000
D126,156.625000,-181.425000,bottom,-90.000000
D127,192.525000,-181.425000,bottom,-90.000000
D128,326.065250,-163.684500,bottom,-90.000000
D129,364.165250,-163.659500,bottom,-90.000000
D13,59.371000,-163.673000,bottom,-90.000000
D14,61.657000,-182.977000,bottom,-90.000000
D15,83.120000,-58.390000,bottom,-90.000000
D16,83.120000,-77.440000,bottom,-90.000000
D17,73.595000,-106.523000,bottom,-90.000000
D18,83.247000,-125.573000,bottom,-90.000000
D19,88.073000,-144.623000,bottom,-90.000000
D2,37.908000,-75.789000,bottom,180.000000
D20,78.421000,-163.673000,bottom,-90.000000
D21,85.279000,-182.977000,bottom,-90.000000
D22,102.170000,-58.390000,bottom,-90.000000
D23,102.170000,-77.440000,bottom,-90.000000
D24,92.645000,-106.523000,bottom,-90.000000
D25,102.297000,-125.573000,bottom,-90.000000
D26,107.123000,-144.623000,bottom,-90.000000
D27,97.471000,-163.673000,bottom,-90.000000
D28,121.220000,-58.390000,bottom,-90.000000
D29,121.220000,-77.440000,bottom,-90.000000
D3,48.575000,-104.775000,bottom,180.000000
D30,111.695000,-106.523000,bottom,-90.000000
D31,121.347000,-125.573000,bottom,-90.000000
D32,126.173000,-144.877000,bottom,-90.000000
D33,116.521000,-163.673000,bottom,-90.000000
D34,154.875000,-58.375000,bottom,-90.000000
D35,154.875000,-77.440000,bottom,-90.000000
D36,130.745000,-106.523000,bottom,-90.000000
D37,140.397000,-125.573000,bottom,-90.000000
D38,145.223000,-144.877000,bottom,-90.000000
D39,135.571000,-163.673000,bottom,-90.000000
D4,40.067000,-125.573000,bottom,-90.000000
D40,109.275000,-182.975000,bottom,-90.000000
D41,173.925000,-58.390000,bottom,-90.000000
D42,173.925000,-77.440000,bottom,-90.000000
D43,149.795000,-106.523000,bottom,-90.000000
D44,159.447000,-125.573000,bottom,-90.000000
D45,164.273000,-144.877000,bottom,-90.000000
D46,154.621000,-163.673000,bottom,-90.000000
D47,192.975000,-58.390000,bottom,-90.000000
D48,192.975000,-77.440000,bottom,-90.000000
D49,168.845000,-106.523000,bottom,-90.000000
D5,42.607000,-144.369000,bottom,-90.000000
D50,178.497000,-125.573000,bottom,-90.000000
D51,183.323000,-144.877000,bottom,-90.000000
D52,173.671000,-163.673000,bottom,-90.000000
D53,228.027000,-182.723000,bottom,-90.000000
D54,212.025000,-58.390000,bottom,-90.000000
D55,212.025000,-77.440000,bottom,-90.000000
D56,187.895000,-106.523000,bottom,-90.000000
D57,197.547000,-125.573000,bottom,-90.000000
D58,202.373000,-144.623000,bottom,-90.000000
D59,192.721000,-163.673000,bottom,-90.000000
D6,37.781000,-163.673000,bottom,-90.000000
D60,251.903000,-182.723000,bottom,-90.000000
D61,245.045000,-58.390000,bottom,-90.000000
D62,245.045000,-77.440000,bottom,-90.000000
D63,206.945000,-106.523000,bottom,-90.000000
D64,216.597000,-125.573000,bottom,-90.000000
D65,221.423000,-144.623000,bottom,-90.000000
D66,211.771000,-163.673000,bottom,-90.000000
D67,275.779000,-182.723000,bottom,-90.000000
D68,264.095000,-58.390000,bottom,-90.000000
D69,264.095000,-77.440000,bottom,-90.000000
D7,37.781000,-182.723000,bottom,-90.000000
D70,224.318600,-108.301000,bottom,-90.000000
D701,140.143000,-54.453000,bottom,180.000000
D703,237.575000,-66.275000,bottom,0.000000
D71,235.647000,-125.573000,bottom,-90.000000
D72,240.473000,-144.623000,bottom,-90.000000
D73,230.821000,-163.673000,bottom,-90.000000
D74,299.655000,-182.723000,bottom,-90.000000
D75,283.145000,-58.390000,bottom,-90.000000
D76,283.145000,-77.440000,bottom,-90.000000
D77,243.190800,-109.469400,bottom,-90.000000
D78,254.697000,-125.573000,bottom,-90.000000
D79,259.523000,-144.623000,bottom,-90.000000
D8,64.070000,-58.390000,bottom,-90.000000
D80,278.573000,-153.767000,bottom,90.000000
D81,249.875000,-172.115000,bottom,90.000000
D82,302.195000,-58.390000,bottom,-90.000000
D83,302.195000,-77.440000,bottom,-90.000000
D84,262.240800,-108.885200,bottom,-90.000000
D85,298.150000,-104.105000,bottom,180.000000
D86,273.747000,-133.955000,bottom,90.000000
D87,294.915000,-153.875000,bottom,90.000000
D88,275.895000,-173.005000,bottom,90.000000
D89,326.071000,-39.721000,bottom,-90.000000
D9,64.070000,-77.440000,bottom,-90.000000
D90,326.071000,-58.771000,bottom,-90.000000
D91,326.071000,-77.821000,bottom,-90.000000
D92,326.071000,-106.523000,bottom,-90.000000
D93,326.071000,-125.319000,bottom,-90.000000
D94,326.071000,-182.469000,bottom,-90.000000
D95,345.121000,-39.721000,bottom,-90.000000
D96,345.121000,-58.771000,bottom,-90.000000
D97,345.121000,-77.821000,bottom,-90.000000
D98,345.121000,-106.523000,bottom,-90.000000
D99,345.121000,-125.319000,bottom,-90.000000
F701,142.937000,-49.881000,bottom,90.000000
HA201,35.475000,-36.475000,top,0.000000
HA202,35.475000,-198.975000,top,0.000000
HA203,462.975000,-36.475000,top,0.000000
HA204,462.975000,-198.975000,top,0.000000
J201,145.985000,-34.572500,bottom,0.000000
J202,237.679000,-50.490600,bottom,180.000000
J203,268.765000,-99.305000,bottom,0.000000
L1,55.815000,-53.437000,bottom,180.000000
L2,377.379000,-38.705000,bottom,180.000000
L701,142.683000,-78.329000,bottom,-90.000000
L702,152.462000,-34.691800,bottom,-90.000000
L711,337.581500,-154.250500,bottom,-90.000000
"LED1,1",56.746000,-58.079000,bottom,0.000000
"LED1,10",253.262500,-70.440500,bottom,0.000000
"LED1,11",272.312500,-70.440500,bottom,0.000000
"LED1,12",291.362500,-70.440500,bottom,0.000000
"LED1,13",310.412500,-70.440500,bottom,0.000000
"LED1,14",334.288500,-51.390500,bottom,0.000000
"LED1,15",353.338500,-51.390500,bottom,0.000000
"LED1,16",385.126000,-46.960000,bottom,0.000000
"LED1,2",72.325000,-70.455000,bottom,0.000000
"LED1,3",91.375000,-70.455000,bottom,0.000000
"LED1,4",110.425000,-70.455000,bottom,0.000000
"LED1,5",129.475000,-70.455000,bottom,0.000000
"LED1,6",162.965500,-70.567500,bottom,0.000000
"LED1,7",182.015500,-70.567500,bottom,0.000000
"LED1,8",201.065500,-70.567500,bottom,0.000000
"LED1,9",220.115500,-70.567500,bottom,0.000000
"LED2,1",43.575000,-90.125000,bottom,180.000000
"LED2,10",253.262500,-89.490500,bottom,180.000000
"LED2,11",272.312500,-89.490500,bottom,180.000000
"LED2,12",291.362500,-89.490500,bottom,180.000000
"LED2,13",310.412500,-89.490500,bottom,180.000000
"LED2,14",334.288500,-70.440500,bottom,180.000000
"LED2,15",353.338500,-70.440500,bottom,180.000000
"LED2,16",372.388500,-70.440500,bottom,180.000000
"LED2,17",453.287500,-118.065500,bottom,0.000000
"LED2,18",448.065000,-141.905000,bottom,90.000000
"LED2,19",447.905000,-179.905000,bottom,-90.000000
"LED2,2",72.287500,-89.490500,bottom,180.000000
"LED2,3",91.337500,-89.490500,bottom,180.000000
"LED2,4",110.387500,-89.490500,bottom,180.000000
"LED2,5",129.437500,-89.490500,bottom,180.000000
"LED2,6",162.875000,-89.725000,bottom,180.000000
"LED2,7",181.925000,-89.725000,bottom,180.000000
"LED2,8",200.975000,-89.725000,bottom,180.000000
"LED2,9",220.125000,-89.725000,bottom,180.000000
LED201,286.475000,-37.675000,top,0.000000
LED202,301.475000,-37.675000,top,0.000000
LED203,316.475000,-37.675000,top,0.000000
"LED3,1",43.712500,-118.080000,bottom,0.000000
"LED3,10",215.162500,-118.065500,bottom,0.000000
"LED3,11",234.212500,-118.065500,bottom,0.000000
"LED3,12",253.262500,-118.065500,bottom,0.000000
"LED3,13",272.350000,-118.080000,bottom,0.000000
"LED3,14",334.288500,-89.490500,bottom,0.000000
"LED3,15",353.338500,-89.490500,bottom,0.000000
"LED3,16",372.388500,-89.490500,bottom,0.000000
"LED3,17",396.137500,-118.065500,bottom,0.000000
"LED3,18",415.187500,-118.065500,bottom,0.000000
"LED3,19",434.237500,-118.065500,bottom,0.000000
"LED3,2",62.762500,-118.080000,bottom,0.000000
"LED3,3",81.812500,-118.080000,bottom,0.000000
"LED3,4",100.862500,-118.080000,bottom,0.000000
"LED3,5",119.912500,-118.065500,bottom,0.000000
"LED3,6",138.962500,-118.065500,bottom,0.000000
"LED3,7",158.012500,-118.065500,bottom,0.000000
"LED3,8",177.062500,-118.065500,bottom,0.000000
"LED3,9",196.112500,-118.065500,bottom,0.000000
"LED4,1",48.538500,-137.115500,bottom,180.000000
"LED4,10",224.687500,-137.115500,bottom,180.000000
"LED4,11",243.737500,-137.115500,bottom,180.000000
"LED4,12",262.787500,-137.115500,bottom,180.000000
"LED4,13",300.887500,-118.065500,bottom,180.000000
"LED4,14",334.288500,-118.192500,bottom,180.000000
"LED4,15",353.338500,-118.192500,bottom,180.000000
"LED4,16",372.388500,-118.192500,bottom,180.000000
"LED4,17",396.137500,-137.242500,bottom,180.000000
"LED4,18",415.187500,-137.242500,bottom,180.000000
"LED4,19",434.237500,-137.242500,bottom,180.000000
"LED4,2",72.287500,-137.115500,bottom,180.000000
"LED4,3",91.337500,-137.115500,bottom,180.000000
"LED4,4",110.387500,-137.115500,bottom,180.000000
"LED4,5",129.437500,-137.115500,bottom,180.000000
"LED4,6",148.487500,-137.115500,bottom,180.000000
"LED4,7",167.537500,-137.115500,bottom,180.000000
"LED4,8",186.587500,-137.115500,bottom,180.000000
"LED4,9",205.637500,-137.115500,bottom,180.000000
"LED5,1",50.824500,-156.165500,bottom,0.000000
"LED5,10",229.513500,-156.165500,bottom,0.000000
"LED5,11",248.563500,-156.165500,bottom,0.000000
"LED5,12",267.613500,-156.165500,bottom,0.000000
"LED5,13",281.825000,-137.025000,bottom,0.000000
"LED5,14",334.288500,-137.115500,bottom,0.000000
"LED5,15",353.338500,-137.115500,bottom,0.000000
"LED5,16",372.388500,-137.115500,bottom,0.000000
"LED5,17",396.137500,-156.292500,bottom,0.000000
"LED5,18",415.187500,-156.292500,bottom,0.000000
"LED5,19",434.237500,-156.292500,bottom,0.000000
"LED5,2",77.113500,-156.165500,bottom,0.000000
"LED5,3",96.163500,-156.165500,bottom,0.000000
"LED5,4",115.213500,-156.165500,bottom,0.000000
"LED5,5",134.136500,-156.165500,bottom,0.000000
"LED5,6",153.186500,-156.165500,bottom,0.000000
"LED5,7",172.236500,-156.165500,bottom,0.000000
"LED5,8",191.286500,-156.165500,bottom,0.000000
"LED5,9",210.463500,-156.165500,bottom,0.000000
"LED6,1",46.125500,-175.215500,bottom,180.000000
"LED6,10",219.988500,-175.215500,bottom,180.000000
"LED6,11",239.038500,-175.215500,bottom,180.000000
"LED6,12",286.663500,-156.165500,bottom,180.000000
"LED6,13",308.037000,-147.148500,bottom,180.000000
"LED6,14",333.925000,-175.675000,bottom,180.000000
"LED6,15",353.255000,-175.295000,bottom,180.000000
"LED6,16",372.350000,-175.400000,bottom,180.000000
"LED6,17",396.235000,-175.295000,bottom,180.000000
"LED6,18",415.285000,-175.295000,bottom,180.000000
"LED6,19",434.237500,-175.215500,bottom,180.000000
"LED6,2",67.588500,-175.215500,bottom,180.000000
"LED6,3",86.638500,-175.215500,bottom,180.000000
"LED6,4",105.688500,-175.215500,bottom,180.000000
"LED6,5",124.611500,-175.215500,bottom,180.000000
"LED6,6",143.661500,-175.215500,bottom,180.000000
"LED6,7",162.711500,-175.215500,bottom,180.000000
"LED6,8",181.761500,-175.215500,bottom,180.000000
"LED6,9",200.938500,-175.215500,bottom,180.000000
"LED7,1",46.125500,-194.265500,bottom,0.000000
"LED7,10",284.161000,-194.265500,bottom,0.000000
"LED7,11",307.999500,-194.265500,bottom,0.000000
"LED7,12",258.135000,-175.515000,bottom,180.000000
"LED7,13",293.775500,-175.215500,bottom,180.000000
"LED7,14",334.288500,-194.392500,bottom,0.000000
"LED7,15",353.338500,-194.392500,bottom,0.000000
"LED7,16",372.388500,-194.392500,bottom,0.000000
"LED7,17",405.700000,-194.280000,bottom,0.000000
"LED7,18",434.237500,-194.392500,bottom,0.000000
"LED7,2",69.874500,-194.265500,bottom,0.000000
"LED7,3",93.750500,-194.265500,bottom,0.000000
"LED7,5",129.275000,-194.275000,bottom,0.000000
"LED7,6",165.251500,-194.265500,bottom,0.000000
"LED7,7",200.975000,-194.275000,bottom,0.000000
"LED7,8",236.625500,-194.265500,bottom,0.000000
"LED7,9",260.412000,-194.265500,bottom,0.000000
Q701,242.575000,-70.225000,bottom,-90.000000
R101,58.863000,-64.132000,bottom,90.000000
R102,391.476000,-46.325000,bottom,180.000000
R301,52.921000,-99.443000,bottom,-90.000000
R302,69.625000,-99.575000,bottom,-90.000000
R303,66.425000,-99.575000,bottom,-90.000000
R304,316.725000,-53.475000,bottom,90.000000
R305,320.125000,-53.475000,bottom,90.000000
R306,275.075000,-37.675000,bottom,0.000000
R307,290.075000,-37.675000,bottom,0.000000
R308,305.075000,-37.675000,bottom,0.000000
R701,140.651000,-56.653000,bottom,0.000000
R702,237.679000,-70.836000,bottom,180.000000
R703,241.825000,-65.525000,bottom,-90.000000
R705,149.337800,-38.375000,bottom,180.000000
R706,141.692400,-38.882800,bottom,180.000000
R711,232.875000,-67.075000,bottom,90.000000
RV204,64.221250,-44.575000,top,0.000000
RV205,154.804000,-44.575000,top,0.000000
RV206,245.291500,-44.575000,top,0.000000
"SW1,1",46.250000,-45.933000,top,-90.000000
"SW1,10",253.268410,-65.406750,bottom,180.000000
"SW1,11",272.318250,-65.406750,bottom,180.000000
"SW1,12",291.368250,-65.406750,bottom,180.000000
"SW1,13",310.418250,-65.406750,bottom,180.000000
"SW1,14",334.262500,-46.325000,bottom,180.000000
"SW1,15",353.312500,-46.325000,bottom,180.000000
"SW1,16",364.922000,-43.825000,top,0.000000
"SW1,2",72.293250,-65.406750,bottom,180.000000
"SW1,3",91.343250,-65.406750,bottom,180.000000
"SW1,4",110.393250,-65.406750,bottom,180.000000
"SW1,5",129.443250,-65.406750,bottom,180.000000
"SW1,6",162.876090,-65.406750,bottom,180.000000
"SW1,7",181.926106,-65.406750,bottom,180.000000
"SW1,8",200.976000,-65.406750,bottom,180.000000
"SW1,9",220.026000,-65.406750,bottom,180.000000
"SW2,1",43.718250,-84.456750,bottom,180.000000
"SW2,10",253.268250,-84.456750,bottom,180.000000
"SW2,11",272.318250,-84.456750,bottom,180.000000
"SW2,12",291.368250,-84.456750,bottom,180.000000
"SW2,13",310.418250,-84.456750,bottom,180.000000
"SW2,14",334.262500,-65.375000,bottom,180.000000
"SW2,15",353.312500,-65.375000,bottom,180.000000
"SW2,16",372.362500,-65.375000,bottom,180.000000
"SW2,17",453.293250,-113.063500,bottom,180.000000
"SW2,18",453.293250,-141.638500,bottom,90.000000
"SW2,19",453.293250,-179.738500,bottom,90.000000
"SW2,2",72.293250,-84.456750,bottom,180.000000
"SW2,3",91.343250,-84.456750,bottom,180.000000
"SW2,4",110.393250,-84.456750,bottom,180.000000
"SW2,5",129.445000,-84.455000,bottom,180.000000
"SW2,6",162.876000,-84.456750,bottom,180.000000
"SW2,7",181.926000,-84.456750,bottom,180.000000
"SW2,8",200.976000,-84.456750,bottom,180.000000
"SW2,9",220.026000,-84.456750,bottom,180.000000
SW201,239.225000,-58.925000,bottom,180.000000
SW202,233.125000,-37.425000,top,0.000000
"SW3,1",43.718250,-113.031750,bottom,180.000000
"SW3,10",215.168250,-113.031750,bottom,180.000000
"SW3,11",234.218250,-113.031750,bottom,180.000000
"SW3,12",253.268250,-113.031750,bottom,180.000000
"SW3,13",272.318250,-113.031750,bottom,180.000000
"SW3,14",334.262500,-84.425000,bottom,180.000000
"SW3,15",353.312500,-84.425000,bottom,180.000000
"SW3,16",372.362500,-84.425000,bottom,180.000000
"SW3,17",396.143250,-113.063500,bottom,180.000000
"SW3,18",415.193250,-113.063500,bottom,180.000000
"SW3,19",434.243250,-113.063500,bottom,180.000000
"SW3,2",62.768250,-113.031750,bottom,180.000000
"SW3,3",81.818250,-113.031750,bottom,180.000000
"SW3,4",100.868250,-113.031750,bottom,180.000000
"SW3,5",119.918250,-113.031750,bottom,180.000000
"SW3,6",138.968250,-113.031750,bottom,180.000000
"SW3,7",158.018250,-113.031750,bottom,180.000000
"SW3,8",177.068250,-113.031750,bottom,180.000000
"SW3,9",196.118250,-113.031750,bottom,180.000000
"SW4,1",48.480750,-132.081750,bottom,180.000000
"SW4,10",224.693250,-132.081750,bottom,180.000000
"SW4,11",243.743250,-132.081750,bottom,180.000000
"SW4,12",262.793250,-132.081750,bottom,180.000000
"SW4,13",300.893250,-113.031750,bottom,180.000000
"SW4,14",334.262500,-113.000000,bottom,180.000000
"SW4,15",353.312500,-113.000000,bottom,180.000000
"SW4,16",372.362500,-113.000000,bottom,180.000000
"SW4,17",396.143250,-132.113500,bottom,180.000000
"SW4,18",415.193250,-132.113500,bottom,180.000000
"SW4,19",434.243250,-132.113500,bottom,180.000000
"SW4,2",72.293250,-132.081750,bottom,180.000000
"SW4,3",91.343250,-132.081750,bottom,180.000000
"SW4,4",110.393250,-132.081750,bottom,180.000000
"SW4,5",129.443250,-132.081750,bottom,180.000000
"SW4,6",148.493250,-132.081750,bottom,180.000000
"SW4,7",167.543250,-132.081750,bottom,180.000000
"SW4,8",186.593250,-132.081750,bottom,180.000000
"SW4,9",205.643250,-132.081750,bottom,180.000000
"SW5,1",50.862000,-151.131750,bottom,180.000000
"SW5,10",229.455750,-151.131750,bottom,180.000000
"SW5,11",248.505750,-151.131750,bottom,180.000000
"SW5,12",267.555750,-151.131750,bottom,180.000000
"SW5,13",281.843250,-132.081750,bottom,180.000000
"SW5,14",334.262500,-132.050000,bottom,180.000000
"SW5,15",353.312500,-132.050000,bottom,180.000000
"SW5,16",372.362500,-132.050000,bottom,180.000000
"SW5,17",396.143250,-151.163500,bottom,180.000000
"SW5,18",415.193250,-151.163500,bottom,180.000000
"SW5,19",434.243250,-151.163500,bottom,180.000000
"SW5,2",77.055750,-151.131750,bottom,180.000000
"SW5,3",96.105750,-151.131750,bottom,180.000000
"SW5,4",115.155750,-151.131750,bottom,180.000000
"SW5,5",134.205750,-151.131750,bottom,180.000000
"SW5,6",153.255750,-151.131750,bottom,180.000000
"SW5,7",172.305750,-151.131750,bottom,180.000000
"SW5,8",191.350000,-151.150000,bottom,180.000000
"SW5,9",210.405750,-151.131750,bottom,180.000000
"SW6,1",46.099500,-170.181750,bottom,180.000000
"SW6,10",219.930750,-170.181750,bottom,180.000000
"SW6,11",238.980750,-170.181750,bottom,180.000000
"SW6,12",286.605750,-151.131750,bottom,180.000000
"SW6,13",308.037000,-141.606750,bottom,180.000000
"SW6,14",334.235000,-170.215000,bottom,180.000000
"SW6,15",353.280750,-170.213500,bottom,180.000000
"SW6,16",372.325000,-170.200000,bottom,180.000000
"SW6,17",396.143250,-170.213500,bottom,180.000000
"SW6,18",415.193250,-170.213500,bottom,180.000000
"SW6,19",434.243250,-170.213500,bottom,180.000000
"SW6,2",67.530750,-170.181750,bottom,180.000000
"SW6,3",86.580750,-170.181750,bottom,180.000000
"SW6,4",105.630750,-170.181750,bottom,180.000000
"SW6,5",124.680750,-170.181750,bottom,180.000000
"SW6,6",143.730750,-170.181750,bottom,180.000000
"SW6,7",162.780750,-170.181750,bottom,180.000000
"SW6,8",181.830750,-170.181750,bottom,180.000000
"SW6,9",200.880750,-170.181750,bottom,180.000000
"SW7,1",46.099500,-189.231750,bottom,180.000000
"SW7,10",284.224500,-189.231750,bottom,180.000000
"SW7,11",308.037000,-189.231750,bottom,180.000000
"SW7,12",258.030750,-170.181750,bottom,180.000000
"SW7,13",293.749500,-170.181750,bottom,180.000000
"SW7,14",334.230750,-189.263500,bottom,180.000000
"SW7,15",353.280750,-189.263500,bottom,180.000000
"SW7,16",372.330750,-189.263500,bottom,180.000000
"SW7,17",405.668250,-189.263500,bottom,180.000000
"SW7,18",434.243250,-189.263500,bottom,180.000000
"SW7,2",69.912000,-189.231750,bottom,180.000000
"SW7,3",93.724500,-189.231750,bottom,180.000000
"SW7,4",124.675000,-189.225000,bottom,180.000000
"SW7,5",143.735000,-189.215000,bottom,180.000000
"SW7,6",165.162000,-189.231750,bottom,180.000000
"SW7,7",200.875000,-189.225000,bottom,180.000000
"SW7,8",236.599500,-189.231750,bottom,180.000000
"SW7,9",260.412000,-189.231750,bottom,180.000000
U501,236.790000,-93.950000,bottom,180.000000
U502,56.991000,-100.379000,bottom,180.000000
U701,150.491000,-86.541000,bottom,-90.000000
U702,140.828800,-69.845400,bottom,-90.000000
